ano_censo,linhas,escolas_com_id,escolas_ativas,qt_mat_bas,qt_doc_bas,qt_tur_bas,in_creche,in_medio,pct_ativas,matriculas_por_docente,turmas_por_docente,pct_creche,pct_medio
1995,243637,243637,222355,0.0,0.0,0.0,0.0,15466.0,0.9126487356189741,,,0.0,0.06347968494112143
1996,276731,276731,223936,0.0,0.0,0.0,0.0,15202.0,0.8092190611098865,,,0.0,0.05493421409238575
1997,273951,273951,225520,0.0,0.0,0.0,9258.0,13136.0,0.8232129103379802,,,0.03379436468565546,0.04795018087176174
1998,267532,267532,215120,0.0,0.0,0.0,10519.0,14746.0,0.8040907255954428,,,0.03931866094523272,0.055118640013157305
1999,266645,266645,217362,0.0,0.0,0.0,18603.0,16579.0,0.8151737328657953,,,0.06976691856213317,0.062176301824523245
2000,261988,261988,217412,0.0,0.0,0.0,20917.0,18042.0,0.8298548025100386,,,0.07983953463517413,0.06886574957631647
2001,264735,264735,218383,0.0,0.0,0.0,25471.0,19221.0,0.8249117041569872,,,0.09621319432640188,0.07260468015184997
2002,256986,256986,214188,0.0,0.0,0.0,26832.0,20555.0,0.833461744997782,,,0.10441035698442716,0.07998490190127089
2003,253405,253405,211933,0.0,0.0,0.0,28055.0,21414.0,0.8363410351019119,,,0.11071210118190249,0.08450504133699019
2004,248257,248257,210094,0.0,0.0,0.0,30266.0,22927.0,0.8462762379308539,,,0.12191398429852934,0.0923518772884551
2005,248103,248103,207234,0.0,0.0,0.0,32296.0,23505.0,0.8352740595639714,,,0.13017174318730526,0.09473887861089951
2006,241817,241817,203973,0.0,0.0,0.0,34680.0,24037.0,0.8435014907967595,,,0.14341423473122236,0.09940161361690865
2007,198507,198507,198507,53028928.0,2318003.0,2098756.0,40072.0,24366.0,1.0,22.876988511231435,0.9054155667615615,0.20186693668233363,0.12274630113799513
2008,205699,205699,205699,53232868.0,2487223.0,2138582.0,42431.0,25476.0,1.0,21.402531256746983,0.859827204878694,0.2062771330925284,0.123850869474329
2009,203455,203455,203455,52580452.0,2533470.0,2145029.0,44033.0,25964.0,1.0,20.754321937895455,0.8466762977260437,0.2164262367599715,0.1276154432184021
2010,200876,200876,200876,51549889.0,2572700.0,2150472.0,46908.0,26519.0,1.0,20.037271737862945,0.8358813697671706,0.23351719468726975,0.13201676656245645
2011,242147,242147,194932,50972619.0,2608581.0,2155952.0,49582.0,26973.0,0.805015135434261,19.540362748942815,0.8264845906644264,0.20475991856186532,0.11139101454901361
2012,242136,242136,194695,50545050.0,2672767.0,2173607.0,53549.0,27190.0,0.8040729176991442,18.911132171266708,0.8132422317396166,0.22115257541216507,0.11229226550368387
2013,242680,242680,192678,50042448.0,2732597.0,2186922.0,56870.0,27479.0,0.793959123125103,18.31314606581212,0.8003090100735674,0.23434151969671996,0.11323141585627164
2014,242929,242929,190553,49771371.0,2785472.0,2186920.0,59408.0,27778.0,0.7843979105005989,17.86820007524757,0.7851164901316545,0.24454881879067547,0.11434616698706207
2015,237879,237879,188689,48796512.0,2784910.0,2164640.0,63221.0,28025.0,0.7932141971338369,17.52175546067916,0.7772746695584417,0.2657695719252225,0.11781199685554421
2016,237506,237506,187891,48817479.0,2802003.0,2171013.0,65249.0,28354.0,0.7911000143154279,17.422350725534557,0.7748075216193558,0.2747256911404343,0.11938224718533426
2017,236481,236481,185925,48608093.0,2791496.0,2169220.0,67902.0,28558.0,0.7862153830540297,17.412918736046908,0.7770815362085419,0.2871351186776105,0.12076234454353627
2018,236460,236460,183746,48455867.0,2835306.0,2163997.0,69745.0,28673.0,0.7770701175674533,17.090171925005624,0.7632322578233178,0.29495474921762665,0.12125940962530661
2019,228521,228521,182468,47874246.0,2813042.0,2160089.0,71403.0,28860.0,0.798473663251955,17.01867444567127,0.7678836647302102,0.3124570608390476,0.12629036281129524
2020,224229,224229,181279,47295294.0,2757776.0,2142065.0,70894.0,28933.0,0.8084547493856726,17.14979534233382,0.7767363991854306,0.31616784626431016,0.1290332650995188
2021,221140,221140,180057,46668401.0,2846169.0,2128776.0,69865.0,29167.0,0.8142217599710591,16.396918454244986,0.7479443420260709,0.31593108438093515,0.13189382291760876
2022,224649,224649,184332,47382074.0,2924306.0,2190502.0,74367.0,29413.0,0.8205333653833313,16.202844025214873,0.7490673000705125,0.33103641681022394,0.13092869320584558
2023,217625,217625,180230,47304632.0,2934558.0,2212677.0,76648.0,29754.0,0.8281677197013211,16.119849053929077,0.7540069066619232,0.35220218265364733,0.13672142446869615
2024,215545,215545,181065,47088922.0,2939002.0,2224054.0,78070.0,29993.0,0.8400334036976037,16.02207892338964,0.7567378314135207,0.36219814887842444,0.1391495975318379
2025,214192,214192,180540,46018380.0,2992045.0,2233976.0,112314.0,62767.0,0.8428886232912527,15.380243278426628,0.7466385030973799,0.5243613206842459,0.2930408231866736
