ano_censo,id_escola,co_municipio,no_municipio,sg_uf,co_uf,no_uf,no_regiao,co_regiao,no_entidade,dependencia_administrativa,localizacao,situacao_funcionamento,tp_localizacao_diferenciada,tp_categoria_escola_privada,in_regular,in_creche,in_pre_escola,in_fundamental,in_medio,in_eja,in_profissionalizante,in_especial,in_educacao_indigena,in_predio_escolar,in_predio_compartilhado,in_agua_potavel,in_agua_rede_publica,in_agua_poco_artesiano,in_agua_inexistente,in_energia_rede_publica,in_energia_gerador,in_energia_inexistente,qt_mat_bas,qt_mat_fund,qt_mat_med,qt_doc_bas,qt_doc_fund,qt_doc_med,qt_tur_bas,qt_tur_fund,qt_tur_med,colunas_com_algum_dado
1995,243637,243637,243637,243637,0,243637,0,0,0,243637,243636,243637,0,0,243637,0,243637,243637,243074,243565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
1996,276731,276731,276731,276731,0,276731,0,0,0,276731,276731,276731,0,0,276731,0,276731,276731,276731,276731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
1997,273951,273951,273951,273951,0,273951,0,0,0,273951,273951,273951,0,0,273951,273951,273951,273951,273951,273951,0,273951,0,225392,0,0,225392,225392,225392,225392,225392,225392,0,0,0,0,0,0,0,0,0,23
1998,267532,267532,267532,267532,0,267532,0,0,0,267532,267532,267532,0,0,267532,267532,267532,267532,267532,267532,267532,267532,0,215130,0,0,215130,215130,215129,215130,215130,215130,0,0,0,0,0,0,0,0,0,24
1999,266645,266645,266645,266645,0,266645,0,0,0,266645,266645,266645,0,0,266645,266645,266645,266645,266645,266645,266645,266645,0,217375,0,0,217376,217368,217376,217378,217368,217378,0,0,0,0,0,0,0,0,0,24
2000,261988,261988,261988,261988,0,261988,0,0,0,261988,261988,261988,0,0,261988,261988,261988,261988,261988,261988,0,261988,50177,217032,0,0,215390,208491,207882,216728,207329,208157,0,0,0,0,0,0,0,0,0,24
2001,264735,264735,264735,264735,0,264735,0,0,0,264735,264735,264735,0,0,264735,264735,264735,264735,264735,264735,264735,264735,80322,218383,218383,0,218383,218383,218383,218383,218383,218383,0,0,0,0,0,0,0,0,0,26
2002,256986,256986,256986,256986,0,256986,0,0,0,256986,256986,256986,0,0,256986,256986,256986,256986,256986,256986,256986,256986,92544,214189,204221,0,214189,214189,214189,214189,214189,214189,0,0,0,0,0,0,0,0,0,26
2003,253405,253405,253405,253405,0,253405,0,0,0,253405,253405,253405,0,0,253405,253405,253405,253405,253405,253405,253405,253405,118621,211933,201744,0,211933,211933,211933,211933,211933,211933,0,0,0,0,0,0,0,0,0,26
2004,248257,248257,248257,248257,0,248257,0,0,0,248257,248257,248257,0,0,248257,248257,248257,248257,248257,248257,248257,248257,220807,210068,208042,210094,210010,210075,210094,210090,209904,210094,0,0,0,0,0,0,0,0,0,27
2005,248103,248103,248103,248103,0,248103,0,0,0,248103,248103,248103,0,0,248103,248103,248103,248103,248103,248103,248103,248103,248103,207234,207234,207234,207234,207234,207234,207234,207234,207234,0,0,0,0,0,0,0,0,0,27
2006,241817,241817,241817,241817,0,241817,0,0,0,241817,241817,241817,0,0,241817,241817,241817,241817,241817,241817,241817,241817,203973,203973,203973,203973,203973,203973,203973,203973,203973,203973,0,0,0,0,0,0,0,0,0,27
2007,198507,198507,198507,198507,198507,198507,198507,198507,198507,198507,198507,198507,198507,32603,198397,198397,198397,198507,198397,198397,198507,198507,198507,198507,198507,0,198507,198507,198507,198507,198507,198506,198397,198397,198397,194431,194431,194431,198397,198397,198397,41
2008,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,205699,42
2009,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,203455,42
2010,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,200876,42
2011,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,242147,42
2012,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,242136,42
2013,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,242680,42
2014,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,242929,42
2015,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,237879,42
2016,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,237506,42
2017,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,236481,42
2018,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,236460,42
2019,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,228521,42
2020,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,224229,42
2021,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,221140,42
2022,224649,224649,224649,224649,224649,224649,224649,224649,224649,224649,224649,224649,180073,41759,180073,178346,178346,224649,178346,178346,224649,224649,180073,180073,175725,180073,180073,180073,180073,180073,224649,180073,178346,178346,178346,178111,178111,178111,178346,178346,178346,42
2023,217625,217625,217625,217625,217625,217625,217625,217625,217625,217625,217625,217625,180230,42316,180230,178476,178476,217625,178476,178476,217625,217625,180230,180230,176052,180230,180230,180230,180230,180230,180230,180230,178476,178476,178476,178246,178246,178246,178476,178476,178476,42
2024,215545,215545,215545,215545,215545,215545,215545,215545,215545,215545,215545,215545,181065,43218,181065,179286,179286,215545,179286,179286,215545,215545,181065,181065,177264,181065,181065,181065,181065,181065,181065,181065,179286,179286,179286,178997,178997,178997,179286,179286,179286,42
2025,214192,214192,214192,214192,214192,214192,214192,214192,214192,214192,214192,214192,180540,42454,180540,214192,214192,214192,214192,214192,214192,180540,180540,180540,180540,180540,180540,180540,180540,180540,180540,180540,178766,178766,178766,178772,178772,178772,178772,178772,178772,42
