ano_censo,dependencia_administrativa,localizacao,situacao_funcionamento,escolas,qt_mat_bas,qt_doc_bas,qt_tur_bas,matriculas_por_escola
1995,Estadual,Rural,Ativa,20718,0.0,0.0,0.0,0.0
1995,Estadual,Rural,Extinto,204,0.0,0.0,0.0,0.0
1995,Estadual,Rural,Paralisado,1550,0.0,0.0,0.0,0.0
1995,Estadual,Urbana,Ativa,30187,0.0,0.0,0.0,0.0
1995,Estadual,Urbana,Extinto,52,0.0,0.0,0.0,0.0
1995,Estadual,Urbana,Paralisado,301,0.0,0.0,0.0,0.0
1995,Federal,Rural,Ativa,133,0.0,0.0,0.0,0.0
1995,Federal,Rural,Extinto,1,0.0,0.0,0.0,0.0
1995,Federal,Rural,Paralisado,47,0.0,0.0,0.0,0.0
1995,Federal,Urbana,Ativa,143,0.0,0.0,0.0,0.0
1995,Federal,Urbana,Extinto,3,0.0,0.0,0.0,0.0
1995,Federal,Urbana,Paralisado,48,0.0,0.0,0.0,0.0
1995,Municipal,Rural,Ativa,116107,0.0,0.0,0.0,0.0
1995,Municipal,Rural,Extinto,2270,0.0,0.0,0.0,0.0
1995,Municipal,Rural,Paralisado,12382,0.0,0.0,0.0,0.0
1995,Municipal,Urbana,Ativa,33606,0.0,0.0,0.0,0.0
1995,Municipal,Urbana,Extinto,476,0.0,0.0,0.0,0.0
1995,Municipal,Urbana,Paralisado,1676,0.0,0.0,0.0,0.0
1995,Municipal,,Extinto,1,0.0,0.0,0.0,0.0
1995,Privada,Rural,Ativa,1122,0.0,0.0,0.0,0.0
1995,Privada,Rural,Extinto,54,0.0,0.0,0.0,0.0
1995,Privada,Rural,Paralisado,135,0.0,0.0,0.0,0.0
1995,Privada,Urbana,Ativa,20339,0.0,0.0,0.0,0.0
1995,Privada,Urbana,Extinto,651,0.0,0.0,0.0,0.0
1995,Privada,Urbana,Paralisado,1431,0.0,0.0,0.0,0.0
1996,Estadual,Rural,Ativa,19277,0.0,0.0,0.0,0.0
1996,Estadual,Rural,Extinto,2498,0.0,0.0,0.0,0.0
1996,Estadual,Rural,Paralisado,1880,0.0,0.0,0.0,0.0
1996,Estadual,Urbana,Ativa,31201,0.0,0.0,0.0,0.0
1996,Estadual,Urbana,Extinto,5107,0.0,0.0,0.0,0.0
1996,Estadual,Urbana,Paralisado,1069,0.0,0.0,0.0,0.0
1996,Federal,Rural,Ativa,195,0.0,0.0,0.0,0.0
1996,Federal,Rural,Extinto,28,0.0,0.0,0.0,0.0
1996,Federal,Rural,Paralisado,83,0.0,0.0,0.0,0.0
1996,Federal,Urbana,Ativa,147,0.0,0.0,0.0,0.0
1996,Federal,Urbana,Extinto,42,0.0,0.0,0.0,0.0
1996,Federal,Urbana,Paralisado,39,0.0,0.0,0.0,0.0
1996,Municipal,Rural,Ativa,120646,0.0,0.0,0.0,0.0
1996,Municipal,Rural,Extinto,9448,0.0,0.0,0.0,0.0
1996,Municipal,Rural,Paralisado,21490,0.0,0.0,0.0,0.0
1996,Municipal,Urbana,Ativa,29830,0.0,0.0,0.0,0.0
1996,Municipal,Urbana,Extinto,2880,0.0,0.0,0.0,0.0
1996,Municipal,Urbana,Paralisado,2800,0.0,0.0,0.0,0.0
1996,Privada,Rural,Ativa,1037,0.0,0.0,0.0,0.0
1996,Privada,Rural,Extinto,160,0.0,0.0,0.0,0.0
1996,Privada,Rural,Paralisado,244,0.0,0.0,0.0,0.0
1996,Privada,Urbana,Ativa,21603,0.0,0.0,0.0,0.0
1996,Privada,Urbana,Extinto,2131,0.0,0.0,0.0,0.0
