ano_censo,id_escola,co_municipio,no_municipio,sg_uf,co_uf,no_uf,no_regiao,co_regiao,no_entidade,dependencia_administrativa,localizacao,situacao_funcionamento,tp_localizacao_diferenciada,tp_categoria_escola_privada,in_regular,in_creche,in_pre_escola,in_fundamental,in_medio,in_eja,in_profissionalizante,in_especial,in_educacao_indigena,in_predio_escolar,in_predio_compartilhado,in_agua_potavel,in_agua_rede_publica,in_agua_poco_artesiano,in_agua_inexistente,in_energia_rede_publica,in_energia_gerador,in_energia_inexistente,qt_mat_bas,qt_mat_fund,qt_mat_med,qt_doc_bas,qt_doc_fund,qt_doc_med,qt_tur_bas,qt_tur_fund,qt_tur_med,linhas
1995,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9999958955331086,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9976891851401881,0.9997044783838251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243637
1996,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276731
1997,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8227456734963552,0.0,0.0,0.8227456734963552,0.8227456734963552,0.8227456734963552,0.8227456734963552,0.8227456734963552,0.8227456734963552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273951
1998,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8041281043015415,0.0,0.0,0.8041281043015415,0.8041281043015415,0.8041243664309317,0.8041281043015415,0.8041281043015415,0.8041281043015415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267532
1999,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8152224868270547,0.0,0.0,0.8152262371317669,0.8151962346940689,0.8152262371317669,0.8152337377411915,0.8151962346940689,0.8152337377411915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266645
2000,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.1915240392689741,0.8284043543979114,0.0,0.0,0.8221368917660351,0.7958036245934929,0.793479090645373,0.8272439959082095,0.7913683069453563,0.7945287570423073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261988
2001,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30340529208453737,0.8249117041569871,0.8249117041569871,0.0,0.8249117041569871,0.8249117041569871,0.8249117041569871,0.8249117041569871,0.8249117041569871,0.8249117041569871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264735
2002,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36011300226471477,0.833465636260341,0.7946775310717316,0.0,0.833465636260341,0.833465636260341,0.833465636260341,0.833465636260341,0.833465636260341,0.833465636260341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256986
2003,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4681083640812138,0.8363410351019119,0.7961326729938241,0.0,0.8363410351019119,0.8363410351019119,0.8363410351019119,0.8363410351019119,0.8363410351019119,0.8363410351019119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253405
2004,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8894290996829898,0.8461715077520473,0.8380106099727299,0.8462762379308539,0.8459378788916325,0.8461997043386491,0.8462762379308539,0.8462601255956529,0.8455109020088054,0.8462762379308539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248257
2005,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8352740595639714,0.8352740595639714,0.8352740595639714,0.8352740595639714,0.8352740595639714,0.8352740595639714,0.8352740595639714,0.8352740595639714,0.8352740595639714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248103
2006,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8435014907967595,0.8435014907967595,0.8435014907967595,0.8435014907967595,0.8435014907967595,0.8435014907967595,0.8435014907967595,0.8435014907967595,0.8435014907967595,0.8435014907967595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241817
2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1642410595092364,0.9994458633700575,0.9994458633700575,0.9994458633700575,1.0,0.9994458633700575,0.9994458633700575,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9999949623942732,0.9994458633700575,0.9994458633700575,0.9994458633700575,0.9794667190577663,0.9794667190577663,0.9794667190577663,0.9994458633700575,0.9994458633700575,0.9994458633700575,198507
2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,205699
2009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,203455
2010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200876
2011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,242147
2012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,242136
2013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,242680
2014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,242929
2015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,237879
2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,237506
2017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,236481
2018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,236460
