ano_censo,total_falhas,linhas,falhas_por_mil_linhas
2008,5938,205699,28.867422787665472
2009,5987,203455,29.426654542773587
2010,5937,200876,29.555546705430217
2011,1885,242147,7.784527580354083
2012,2019,242136,8.338289225889582
2013,1972,242680,8.125927146860063
2014,1880,242929,7.738886670590996
2015,2248,237879,9.450182655888078
2016,1810,237506,7.620860104586831
2017,1780,236481,7.527031769994207
2018,1807,236460,7.64188446248837
2019,1858,228521,8.130543801226146
2020,1746,224229,7.786682364903736
2021,1687,221140,7.628651532965542
2025,3002,214192,14.015462762381414
