ano_censo,regra,falhas,linhas,pct_linhas
2008,RN-05_ativa_sem_matricula_basica,5938,205699,0.02886742278766547
2009,RN-05_ativa_sem_matricula_basica,5987,203455,0.029426654542773586
2010,RN-05_ativa_sem_matricula_basica,5937,200876,0.029555546705430216
2011,RN-05_ativa_sem_matricula_basica,1885,242147,0.007784527580354083
2012,RN-05_ativa_sem_matricula_basica,2019,242136,0.008338289225889584
2013,RN-05_ativa_sem_matricula_basica,1972,242680,0.008125927146860062
2014,RN-05_ativa_sem_matricula_basica,1880,242929,0.0077388866705909954
2015,RN-05_ativa_sem_matricula_basica,2248,237879,0.009450182655888078
2016,RN-05_ativa_sem_matricula_basica,1810,237506,0.0076208601045868315
2017,RN-05_ativa_sem_matricula_basica,1780,236481,0.007527031769994206
2018,RN-05_ativa_sem_matricula_basica,1807,236460,0.00764188446248837
2019,RN-05_ativa_sem_matricula_basica,1858,228521,0.008130543801226145
2020,RN-05_ativa_sem_matricula_basica,1746,224229,0.007786682364903737
2021,RN-05_ativa_sem_matricula_basica,1687,221140,0.0076286515329655425
2025,RN-13_fund_sem_indicador,1575,214192,0.007353215806379323
2025,RN-14_medio_sem_indicador,1142,214192,0.005331665048181071
2025,RN-16_turma_med_sem_matricula,285,214192,0.0013305819078210203
