ano_censo,linhas,escolas_com_id,municipios_com_codigo,escolas_ativas,escolas_paralisadas,escolas_extintas,pct_ativas,pct_paralisadas,pct_extintas,acum_linhas,acum_escolas_com_id,acum_municipios_com_codigo,acum_escolas_ativas,acum_escolas_paralisadas,acum_escolas_extintas,periodo,pct_acum_ativas
1995,243637,243637,243637,222355,17570,3712,0.9126487356189741,0.07211548328045411,0.015235781100571753,243637,243637,243637,222355,17570,3712,1995-1995,0.9126487356189741
1996,276731,276731,276731,223936,30501,22294,0.8092190611098865,0.11021894908774225,0.08056198980237125,520368,520368,520368,446291,48071,26006,1995-1996,0.8576449743258617
1997,273951,273951,273951,225520,30200,18231,0.8232129103379802,0.11023869232088951,0.06654839734113034,794319,794319,794319,671811,78271,44237,1995-1997,0.8457697725976592
1998,267532,267532,267532,215120,37169,15243,0.8040907255954428,0.13893291269829403,0.056976361706263176,1061851,1061851,1061851,886931,115440,59480,1995-1998,0.8352687900656495
1999,266645,266645,266645,217362,35777,13506,0.8151737328657953,0.13417465169044984,0.05065161544375481,1328496,1328496,1328496,1104293,151217,72986,1995-1999,0.8312354722934807
2000,261988,261988,261988,217412,34967,9609,0.8298548025100386,0.133467945096722,0.036677252393239386,1590484,1590484,1590484,1321705,186184,82595,1995-2000,0.8310080453497174
2001,264735,264735,264735,218383,29795,16557,0.8249117041569872,0.11254650877292387,0.06254178707008895,1855219,1855219,1855219,1540088,215979,99152,1995-2001,0.8301381130745211
2002,256986,256986,256986,214188,30998,11800,0.833461744997782,0.12062135680542908,0.04591689819678893,2112205,2112205,2112205,1754276,246977,110952,1995-2002,0.8305424899571775
2003,253405,253405,253405,211933,31222,10250,0.8363410351019119,0.12320988141512598,0.040449083482962056,2365610,2365610,2365610,1966209,278199,121202,1995-2003,0.8311636322132557
2004,248257,248257,248257,210094,30001,8162,0.8462762379308539,0.12084654209146167,0.03287721997768442,2613867,2613867,2613867,2176303,308200,129364,1995-2004,0.8325989807438557
2005,248103,248103,248103,207234,30158,10711,0.8352740595639714,0.12155435444150212,0.04317158599452647,2861970,2861970,2861970,2383537,338358,140075,1995-2005,0.8328308822244818
2006,241817,241817,241817,203973,30624,7220,0.8435014907967595,0.12664122042701711,0.029857288776223342,3103787,3103787,3103787,2587510,368982,147295,1995-2006,0.8336622326209885
2007,198507,198507,198507,198507,0,0,1.0,0.0,0.0,3302294,3302294,3302294,2786017,368982,147295,1995-2007,0.8436611034632289
2008,205699,205699,205699,205699,0,0,1.0,0.0,0.0,3507993,3507993,3507993,2991716,368982,147295,1995-2008,0.8528283836370255
2009,203455,203455,203455,203455,0,0,1.0,0.0,0.0,3711448,3711448,3711448,3195171,368982,147295,1995-2009,0.8608960707519006
2010,200876,200876,200876,200876,0,0,1.0,0.0,0.0,3912324,3912324,3912324,3396047,368982,147295,1995-2010,0.8680382810830596
2011,242147,242147,242147,194932,42506,4709,0.805015135434261,0.17553799964484385,0.01944686492089516,4154471,4154471,4154471,3590979,411488,152004,1995-2011,0.8643649215507823
2012,242136,242136,242136,194695,42421,5020,0.8040729176991442,0.17519493177387915,0.020732150526976575,4396607,4396607,4396607,3785674,453909,157024,1995-2012,0.861044437221703
2013,242680,242680,242680,192678,45984,4018,0.793959123125103,0.18948409428053403,0.016556782594362947,4639287,4639287,4639287,3978352,499893,161042,1995-2013,0.8575352203905471
2014,242929,242929,242929,190553,46765,5611,0.7843979105005989,0.192504805930951,0.02309728356845004,4882216,4882216,4882216,4168905,546658,166653,1995-2014,0.8538960586749951
2015,237879,237879,237879,188689,42564,6626,0.7932141971338369,0.1789313054115748,0.02785449745458826,5120095,5120095,5120095,4357594,589222,173279,1995-2015,0.851076786661185
2016,237506,237506,237506,187891,45583,4032,0.7911000143154279,0.1919235724571169,0.016976413227455307,5357601,5357601,5357601,4545485,634805,177311,1995-2016,0.8484179766279721
2017,236481,236481,236481,185925,46883,3673,0.7862153830540297,0.19825271374867326,0.015531903197297034,5594082,5594082,5594082,4731410,681688,180984,1995-2017,0.8457884600189987
2018,236460,236460,236460,183746,42505,10209,0.7770701175674533,0.17975556119428232,0.0431743212382644,5830542,5830542,5830542,4915156,724193,191193,1995-2018,0.8430015597177758
2019,228521,228521,228521,182468,40468,5585,0.798473663251955,0.17708656972444545,0.024439767023599582,6059063,6059063,6059063,5097624,764661,196778,1995-2019,0.8413221648297765
2020,224229,224229,224229,181279,36838,6112,0.8084547493856726,0.16428740261072386,0.02725784800360346,6283292,6283292,6283292,5278903,801499,202890,1995-2020,0.8401492402390339
2021,221140,221140,221140,180057,36502,4581,0.8142217599710591,0.16506285610925206,0.020715383919688884,6504432,6504432,6504432,5458960,838001,207471,1995-2021,0.8392677485136288
2022,224649,224649,224649,184332,36526,3791,0.8205333653833313,0.16259142039359178,0.01687521422307689,6729081,6729081,6729081,5643292,874527,211262,1995-2022,0.8386423049447614
2023,217625,217625,217625,180230,32083,5312,0.8281677197013211,0.1474233199310741,0.024408960367604825,6946706,6946706,6946706,5823522,906610,216574,1995-2023,0.8383141592576395
2024,215545,215545,215545,181065,31321,3159,0.8400334036976037,0.14531072397875153,0.014655872323644714,7162251,7162251,7162251,6004587,937931,219733,1995-2024,0.8383658992124124
2025,214192,214192,214192,180540,29780,3872,0.8428886232912527,0.1390341375961754,0.018077239112571898,7376443,7376443,7376443,6185127,967711,223605,1995-2025,0.8384972269154659
