ano_censo,soma_in_regular,soma_in_creche,soma_in_pre_escola,soma_in_fundamental,soma_in_medio,soma_in_eja,soma_in_profissionalizante,soma_in_especial,soma_in_educacao_indigena,soma_in_predio_escolar,soma_in_predio_compartilhado,soma_in_agua_potavel,soma_in_agua_rede_publica,soma_in_agua_poco_artesiano,soma_in_agua_inexistente,soma_in_energia_rede_publica,soma_in_energia_gerador,soma_in_energia_inexistente,soma_qt_mat_bas,soma_qt_mat_fund,soma_qt_mat_med,soma_qt_doc_bas,soma_qt_doc_fund,soma_qt_doc_med,soma_qt_tur_bas,soma_qt_tur_fund,soma_qt_tur_med,preenchidos_in_regular,preenchidos_in_creche,preenchidos_in_pre_escola,preenchidos_in_fundamental,preenchidos_in_medio,preenchidos_in_eja,preenchidos_in_profissionalizante,preenchidos_in_especial,preenchidos_in_educacao_indigena,preenchidos_in_predio_escolar,preenchidos_in_predio_compartilhado,preenchidos_in_agua_potavel,preenchidos_in_agua_rede_publica,preenchidos_in_agua_poco_artesiano,preenchidos_in_agua_inexistente,preenchidos_in_energia_rede_publica,preenchidos_in_energia_gerador,preenchidos_in_energia_inexistente,preenchidos_qt_mat_bas,preenchidos_qt_mat_fund,preenchidos_qt_mat_med,preenchidos_qt_doc_bas,preenchidos_qt_doc_fund,preenchidos_qt_doc_med,preenchidos_qt_tur_bas,preenchidos_qt_tur_fund,preenchidos_qt_tur_med,linhas,pct_preenchido_in_regular,pct_preenchido_in_creche,pct_preenchido_in_pre_escola,pct_preenchido_in_fundamental,pct_preenchido_in_medio,pct_preenchido_in_eja,pct_preenchido_in_profissionalizante,pct_preenchido_in_especial,pct_preenchido_in_educacao_indigena,pct_preenchido_in_predio_escolar,pct_preenchido_in_predio_compartilhado,pct_preenchido_in_agua_potavel,pct_preenchido_in_agua_rede_publica,pct_preenchido_in_agua_poco_artesiano,pct_preenchido_in_agua_inexistente,pct_preenchido_in_energia_rede_publica,pct_preenchido_in_energia_gerador,pct_preenchido_in_energia_inexistente,pct_preenchido_qt_mat_bas,pct_preenchido_qt_mat_fund,pct_preenchido_qt_mat_med,pct_preenchido_qt_doc_bas,pct_preenchido_qt_doc_fund,pct_preenchido_qt_doc_med,pct_preenchido_qt_tur_bas,pct_preenchido_qt_tur_fund,pct_preenchido_qt_tur_med,matriculas_por_docente,turmas_por_docente,pct_escolas_com_creche,pct_escolas_com_medio
1995,222930,0.0,108527,198896,15466,9894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243637,0,243637,243637,243074,243565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243637,1.0,0.0,1.0,1.0,0.9976891851401881,0.9997044783838251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.06347968494112143
1996,270580,0.0,78871,200006,15202,14685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276731,0,276731,276731,276731,276731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276731,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.05493421409238575
1997,240365,9258.0,87412,215067,13136,16427,0.0,6512.0,0.0,184533.0,0.0,0.0,90343.0,19187.0,27240.0,139305.0,3176.0,83248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273951,273951,273951,273951,273951,273951,0,273951,0,225392,0,0,225392,225392,225392,225392,225392,225392,0,0,0,0,0,0,0,0,0,273951,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8227456734963552,0.0,0.0,0.8227456734963552,0.8227456734963552,0.8227456734963552,0.8227456734963552,0.8227456734963552,0.8227456734963552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03379436468565546,0.04795018087176174
1998,207660,10519.0,78108,187514,14746,15418,790.0,6562.0,0.0,178182.0,0.0,0.0,93291.0,20696.0,18233.0,139185.0,3148.0,73234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267532,267532,267532,267532,267532,267532,267532,267532,0,215130,0,0,215130,215130,215129,215130,215130,215130,0,0,0,0,0,0,0,0,0,267532,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8041281043015415,0.0,0.0,0.8041281043015415,0.8041281043015415,0.8041243664309317,0.8041281043015415,0.8041281043015415,0.8041281043015415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03931866094523272,0.055118640013157305
1999,211830,18603.0,80878,183475,16579,17255,6767.0,6716.0,0.0,183800.0,0.0,0.0,101791.0,22898.0,13278.0,150226.0,3296.0,64267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266645,266645,266645,266645,266645,266645,266645,266645,0,217375,0,0,217376,217368,217376,217378,217368,217378,0,0,0,0,0,0,0,0,0,266645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8152224868270547,0.0,0.0,0.815226237131767,0.8151962346940689,0.815226237131767,0.8152337377411915,0.8151962346940689,0.8152337377411915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.06976691856213317,0.062176301824523245
2000,103232,20917.0,84617,181532,18042,20892,0.0,6751.0,1375.0,186622.0,0.0,0.0,105903.0,24637.0,10752.0,155853.0,3154.0,58229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261988,261988,261988,261988,261988,261988,0,261988,50177,217032,0,0,215390,208491,207882,216728,207329,208157,0,0,0,0,0,0,0,0,0,261988,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.19152403926897416,0.8284043543979114,0.0,0.0,0.8221368917660351,0.7958036245934929,0.793479090645373,0.8272439959082095,0.7913683069453563,0.7945287570423073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.07983953463517413,0.06886574957631647
2001,111360,25471.0,90682,177808,19221,30160,2334.0,6777.0,1656.0,189618.0,15046.0,0.0,111985.0,25778.0,5416.0,164484.0,2953.0,50569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264735,264735,264735,264735,264735,264735,264735,264735,80322,218383,218383,0,218383,218383,218383,218383,218383,218383,0,0,0,0,0,0,0,0,0,264735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30340529208453737,0.8249117041569872,0.8249117041569872,0.0,0.8249117041569872,0.8249117041569872,0.8249117041569872,0.8249117041569872,0.8249117041569872,0.8249117041569872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.09621319432640188,0.07260468015184997
2002,113864,26832.0,92687,172529,20555,35785,2801.0,6797.0,1725.0,188313.0,16677.0,0.0,114615.0,26899.0,3994.0,166779.0,3457.0,43331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256986,256986,256986,256986,256986,256986,256986,256986,92544,214189,204221,0,214189,214189,214189,214189,214189,214189,0,0,0,0,0,0,0,0,0,256986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3601130022647148,0.833465636260341,0.7946775310717316,0.0,0.833465636260341,0.833465636260341,0.833465636260341,0.833465636260341,0.833465636260341,0.833465636260341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.10441035698442716,0.07998490190127089
2003,117012,28055.0,94741,169096,21414,41446,2789.0,6942.0,2079.0,188215.0,16593.0,0.0,117386.0,27945.0,3927.0,170531.0,3924.0,35433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253405,253405,253405,253405,253405,253405,253405,253405,118621,211933,201744,0,211933,211933,211933,211933,211933,211933,0,0,0,0,0,0,0,0,0,253405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46810836408121387,0.8363410351019119,0.7961326729938241,0.0,0.8363410351019119,0.8363410351019119,0.8363410351019119,0.8363410351019119,0.8363410351019119,0.8363410351019119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.11071210118190249,0.08450504133699019
2004,191252,30266.0,101650,143262,22927,44145,3048.0,6985.0,2233.0,187888.0,12531.0,181442.0,119256.0,28525.0,1908.0,173293.0,3379.0,30330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248257,248257,248257,248257,248257,248257,248257,248257,220807,210068,208042,210094,210010,210075,210094,210090,209904,210094,0,0,0,0,0,0,0,0,0,248257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8894290996829898,0.8461715077520473,0.8380106099727299,0.8462762379308539,0.8459378788916324,0.8461997043386491,0.8462762379308539,0.8462601255956529,0.8455109020088054,0.8462762379308539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.12191398429852934,0.0923518772884551
