ano_censo,linhas,escolas_com_id,municipios_com_codigo,escolas_ativas,escolas_paralisadas,escolas_extintas,pct_ativas,pct_paralisadas,pct_extintas
1995,243637,243637,243637,222355,17570,3712,0.9126487356189741,0.07211548328045411,0.015235781100571753
1996,276731,276731,276731,223936,30501,22294,0.8092190611098865,0.11021894908774225,0.08056198980237125
1997,273951,273951,273951,225520,30200,18231,0.8232129103379802,0.11023869232088951,0.06654839734113034
1998,267532,267532,267532,215120,37169,15243,0.8040907255954428,0.13893291269829403,0.056976361706263176
1999,266645,266645,266645,217362,35777,13506,0.8151737328657953,0.13417465169044984,0.05065161544375481
2000,261988,261988,261988,217412,34967,9609,0.8298548025100386,0.133467945096722,0.036677252393239386
2001,264735,264735,264735,218383,29795,16557,0.8249117041569872,0.11254650877292387,0.06254178707008895
2002,256986,256986,256986,214188,30998,11800,0.833461744997782,0.12062135680542908,0.04591689819678893
2003,253405,253405,253405,211933,31222,10250,0.8363410351019119,0.12320988141512598,0.040449083482962056
2004,248257,248257,248257,210094,30001,8162,0.8462762379308539,0.12084654209146167,0.03287721997768442
2005,248103,248103,248103,207234,30158,10711,0.8352740595639714,0.12155435444150212,0.04317158599452647
2006,241817,241817,241817,203973,30624,7220,0.8435014907967595,0.12664122042701711,0.029857288776223342
2007,198507,198507,198507,198507,0,0,1.0,0.0,0.0
2008,205699,205699,205699,205699,0,0,1.0,0.0,0.0
2009,203455,203455,203455,203455,0,0,1.0,0.0,0.0
2010,200876,200876,200876,200876,0,0,1.0,0.0,0.0
2011,242147,242147,242147,194932,42506,4709,0.805015135434261,0.17553799964484385,0.01944686492089516
2012,242136,242136,242136,194695,42421,5020,0.8040729176991442,0.17519493177387915,0.020732150526976575
2013,242680,242680,242680,192678,45984,4018,0.793959123125103,0.18948409428053403,0.016556782594362947
2014,242929,242929,242929,190553,46765,5611,0.7843979105005989,0.192504805930951,0.02309728356845004
2015,237879,237879,237879,188689,42564,6626,0.7932141971338369,0.1789313054115748,0.02785449745458826
2016,237506,237506,237506,187891,45583,4032,0.7911000143154279,0.1919235724571169,0.016976413227455307
2017,236481,236481,236481,185925,46883,3673,0.7862153830540297,0.19825271374867326,0.015531903197297034
2018,236460,236460,236460,183746,42505,10209,0.7770701175674533,0.17975556119428232,0.0431743212382644
2019,228521,228521,228521,182468,40468,5585,0.798473663251955,0.17708656972444545,0.024439767023599582
2020,224229,224229,224229,181279,36838,6112,0.8084547493856726,0.16428740261072386,0.02725784800360346
2021,221140,221140,221140,180057,36502,4581,0.8142217599710591,0.16506285610925206,0.020715383919688884
2022,224649,224649,224649,184332,36526,3791,0.8205333653833313,0.16259142039359178,0.01687521422307689
2023,217625,217625,217625,180230,32083,5312,0.8281677197013211,0.1474233199310741,0.024408960367604825
2024,215545,215545,215545,181065,31321,3159,0.8400334036976037,0.14531072397875153,0.014655872323644714
2025,214192,214192,214192,180540,29780,3872,0.8428886232912527,0.1390341375961754,0.018077239112571898
