ano_censo,linhas,colunas_com_algum_dado,media_completude
1995,243637,14,0.3332711799775505
1996,276731,14,0.3333333333333333
1997,273951,23,0.5180766598684402
1998,267532,24,0.538783166481909
1999,266645,24,0.5406317834752645
2000,261988,24,0.5201068823944681
2001,264735,26,0.5691118791747722
2002,256986,26,0.571167856837115
2003,253405,26,0.5742530543521053
2004,248257,27,0.6070559176675017
2005,248103,27,0.6075587270494224
2006,241817,27,0.6055955930468475
2007,198507,41,0.9546795399082724
2008,205699,42,1.0
2009,203455,42,1.0
2010,200876,42,1.0
2011,242147,42,1.0
2012,242136,42,1.0
2013,242680,42,1.0
2014,242929,42,1.0
2015,237879,42,1.0
2016,237506,42,1.0
2017,236481,42,1.0
2018,236460,42,1.0
2019,228521,42,1.0
2020,224229,42,1.0
2021,221140,42,1.0
2022,224649,42,0.8643155279908615
2023,217625,42,0.8755117201389458
2024,215545,42,0.8826759189606854
2025,214192,42,0.8968424413165581
